,Address,AreaName,Price ($),lat,lng
168,"#1605 - 61 Markbrook Lane Toronto, ON",Rexdale,254900,43.759262,-79.585342
169,"#1 - 105 Heath St Toronto, ON",Midtown Toronto,105,43.689011,-79.400002
170,"#514 - 210 Simcoe St Toronto, ON",Downtown,33,43.652451,-79.388931
171,"#724 - 2885 Bayview Ave Toronto, ON",Bayview Village,559999,43.767937,-79.387955
172,"#402 - 323 Richmond St Toronto, ON",Old Town,337000,43.653217,-79.368378
173,"90 Browning Ave Toronto, ON",Riverdale,1599000,43.682064,-79.353073
174,"#3307 - 21 Widmer St Toronto, ON",Downtown,438000,43.647224,-79.391098
175,"#1108 - 55 Bamburgh Circ Toronto, ON",Steeles,329900,43.814667,-79.326698
176,"42 Rovinelli Rd Toronto, ON",Malvern,849000,43.815105,-79.217415
177,"#907 - 5791 Yonge St Toronto, ON",Newtonbrook,389999,43.784409,-79.416061
178,"592 The Queensway Toronto, ON",The Queensway,699900,43.628426,-79.49398
179,"44 Barkwood Cres Toronto, ON",Hillcrest Village,17,43.805328,-79.355812
180,"#3006 - 121 Mcmahon Dr Toronto, ON",Bayview Village,25,43.767746,-79.370918
181,"#2604 - 1 King St Toronto, ON",Weston,319800,43.701572,-79.520187
183,"#713 - 15 Greenview Ave Toronto, ON",Newtonbrook,560000,43.78017,-79.418251
184,"#1711 - 45 Charles St Toronto, ON",Downtown,448888,43.668777,-79.383995
185,"#2011 - 215 Fort York Blvd Toronto, ON",Niagara,399000,43.636345,-79.404808
186,"#4004 - 21 Grenville St Toronto, ON",Downtown,704900,43.661793,-79.384506
187,"#1310 - 8 Mercer St Toronto, ON",Downtown,389000,43.645985,-79.389938
188,"#201 - 3 Pemberton Ave Toronto, ON",Newtonbrook,283000,43.780453,-79.413811
189,"#1103 - 3 Marine Parade Dr Toronto, ON",Mimico,579000,43.630383,-79.476273
190,"61 Boydwood Lane Toronto, ON",Rouge,3599000,43.806259,-79.158813
191,"75 Highland Cres Toronto, ON",York Mills,8995000,43.743626,-79.391846
192,"#816 - 210 Victoria St Toronto, ON",Downtown,329000,43.654648,-79.37925
193,"17 Tineta Cres Toronto, ON",White Haven,650000,43.786873,-79.256088
194,"#612 - 800 Lawrence Ave Toronto, ON",Lawrence Heights,359000,43.714592,-79.452911
195,"#5 - 1500 Bathurst St Toronto, ON",Casa Loma,35000,43.684158,-79.419075
227,"16 Stanley Avenue Kitchener, ON",Bridgeport East,289500,43.482586,-80.470451
228,"548 Pinnacle Drive Kitchener, ON",Doon South,749900,43.377377,-80.413368
229,"198 Newbury Drive Kitchener, ON",Forest Heights,279900,43.423267,-80.549805
230,"1110 Fairway Road Kitchener, ON",Grand River South,339500,43.44854,-80.402138
231,"468 Doon South Drive Kitchener, ON",Doon South,294900,43.378914,-80.432083
232,"202 Silver Aspen Crescent Kitchener, ON",Forest Heights,155000,43.423897,-80.525352
233,"205 Highland Crescent Kitchener, ON",Victoria Hills,239000,43.433254,-80.523178
234,"24 Mooregate Crescent Kitchener, ON",Victoria Hills,129900,43.439213,-80.523491
235,"92 Claycroft Crescent Kitchener, ON",Forest Heights,534888,43.423058,-80.536461
236,"84 Bagot St Guelph, ON",Onward Willow,319900,43.541809,-80.267944
237,"326 Cole Rd Guelph, ON",Hanlon Creek,313900,43.508049,-80.234413
238,"33 Old Colony Tr Guelph, ON",Guelph,564900,43.509789,-80.240356
239,"47 Edgehill Dr Guelph, ON",Exhibition Park,439900,43.552586,-80.270058
240,"150 Victoria Rd Guelph, ON",Guelph,1599905,43.563442,-80.240593
242,"183 ARTHUR ST N Guelph, ON",Waverley,329500,43.550434,-80.251793
243,"96 Silurian Drive Guelph, ON",Grange Hill East,387900,43.565311,-80.217117
244,"76 Washburn Drive Guelph, ON",Grange Hill East,339900,43.572025,-80.231163
245,"110 SIMMONDS Drive Guelph, ON",Waverley,499900,43.580765,-80.265869
247,"293 Paisley Road Guelph, ON",Onward Willow,339900,43.540306,-80.263855
248,"68 240 LONDON Road W Guelph, ON",Exhibition Park,329900,43.543354,-80.264183
249,"65 College Avenue W Guelph, ON",Old University,699000,43.529175,-80.237
250,"91 Conroy Crescent Guelph, ON",Guelph,129900,43.509037,-80.251648
251,"33 REID Court Guelph, ON",Hanlon Creek,309900,43.513775,-80.231232
252,"200 Woolwich Street Guelph, ON",Guelph,239900,43.548298,-80.253639
253,"41 1/2 Nottingham Street Guelph, ON",Old City,254900,43.540684,-80.248528
254,"215 Suffolk Street W Guelph, ON",Exhibition Park,359900,43.543663,-80.262383
255,"40 Silvercreek Parkway Guelph, ON",Onward Willow,216900,43.534996,-80.273621
256,"31 Schroder Crescent Guelph, ON",Grange Hill East,299900,43.558014,-80.227051
257,"92 Arthur Street Guelph, ON",Guelph,625000,43.548958,-80.24704
258,"107 Ferguson Street Guelph, ON",Two Rivers,287500,43.549145,-80.237419
260,"360 YORK RD Guelph, ON",Two Rivers,474999,43.548512,-80.22879
261,"113 49 RHONDA Road Guelph, ON",West Willow Woods,214900,43.53569,-80.279762
262,"66 June Avenue Guelph, ON",Guelph,360000,43.552708,-80.278244
263,"70 Downey Road Guelph, ON",Kortright Hills,849900,43.502979,-80.238884
264,"84 Bagot Street Guelph, ON",Onward Willow,319900,43.541809,-80.267944
265,"33 Old Colony Trail Guelph, ON",Guelph,564900,43.509789,-80.240356
266,"35 Kron Drive Guelph, ON",Hanlon Creek,489000,43.518448,-80.217987
267,"89 Davis Street Guelph, ON",Guelph,534900,43.58176,-80.222427
268,"194 Couling Crescent Guelph, ON",Guelph,409900,43.58168,-80.227325
269,"7393 Wellington Rd 51 . Ariss, ON",,699000,43.596718,-80.34066
270,"69 Regal Road Guelph, ON",Guelph,6,43.550182,-80.301346
300,"3537 RAVENSWOOD Court Burlington, ON",Burlington,795000,43.352207,-79.769684
301,"3311 HANNIBAL Road Burlington, ON",Burlington,449900,43.367554,-79.803764
302,"# 309 - 399 ELIZABETH ST Burlington, ON",Burlington,574900,43.325535,-79.794739
303,"6420 CHELSEA RD Burlington, ON",Burlington,1589000,43.422146,-79.928268
304,"1015 PLAINS VIEW Avenue Burlington, ON",Aldershot,499000,43.288479,-79.876991
305,"1421 WALKER&#39;S Line Burlington, ON",Burlington,374900,43.377296,-79.799942
306,"623 OXFORD Road Burlington, ON",Burlington,0,43.34333,-79.790581
307,"5134 Des Jardines Drive Burlington, ON",Burlington,590000,43.393284,-79.783401
308,"2416 Guildstone Cres Oakville, ON",West Oak Trails,788888,43.448833,-79.745132
309,"153 Dornie Rd Oakville, ON",Oakville,1699000,43.464684,-79.651291
310,"28 Sixteen Mile Dr Oakville, ON",Oakville,875000,43.474312,-79.740219
311,"1218 Lambeth Rd Oakville, ON",Oakville,938888,43.471313,-79.6875
312,"2230 Rochester Circ Oakville, ON",Palermo West,1298000,43.42421,-79.765709
313,"2172 Parkmount Blvd Oakville, ON",Oakville,1699000,43.49025,-79.696129
314,"2491 Hemmford Dr Oakville, ON",West Oak Trails,1150000,43.426399,-79.758904
315,"#15 - 1300 Hampton St Oakville, ON",Oakville,399900,43.475967,-79.687119
316,"2477 Old Bronte Rd Oakville, ON",West Oak Trails,1599000,43.434547,-79.77462
317,"2477 Old Bronte Rd Oakville, ON",West Oak Trails,1599000,43.434547,-79.77462
318,"#5 - 1212 Kirstie Crt Oakville, ON",Castle Green,495000,43.465286,-79.698013
319,"537 Weir Ave Oakville, ON",West Oakville,849000,43.428967,-79.700455
320,"#310 - 205 Lakeshore Rd Oakville, ON",Oakville,649000,43.436699,-79.678169
321,"1293 Devon Rd Oakville, ON",Oakville,2738000,43.468716,-79.659775
322,"16 Ennisclare Dr Oakville, ON",Oakville,6999999,43.461479,-79.646126
323,"#Ph2202 - 1359 White Oaks Blvd Oakville, ON",Oakville,629000,43.471966,-79.693459
324,"#522 - 2480 Prince Michael Dr Oakville, ON",Oakville,299900,43.497147,-79.707939
325,"#403 - 205 Lakeshore Rd Oakville, ON",Oakville,610000,43.436699,-79.678169
326,"202 - 2301 PARKHAVEN Boulevard Oakville, ON",Uptown Core,329900,43.476738,-79.71817
327,"1225 Lambeth Road Oakville, ON",Oakville,929900,43.471542,-79.686661
328,"#210 - 1490 BISHOPS GATE Oakville, ON",Glen Abbey,399900,43.439903,-79.739502
329,"208 RIVER OAKS BLVD E Oakville, ON",Oakville,1080000,43.474735,-79.710358
330,"2306 WHISTLING SPRINGS CRES Oakville, ON",West Oak Trails,799900,43.447029,-79.763397
331,"185 Robinson Street Oakville, ON",Oakville,475000,43.44503,-79.667793
332,"205 Lakeshore Road Oakville, ON",Oakville,610000,43.436699,-79.678169
333,"146 Wedgewood Drive Oakville, ON",Oakville,1849000,43.466675,-79.649033
334,"1359 White Oaks Boulevard Oakville, ON",Oakville,629000,43.471966,-79.693459
336,"109 BURLOAK Drive Oakville, ON",Bronte,1029000,43.37368,-79.726707
337,"2428 EIGHTH LINE Oakville, ON",Oakville,1199000,43.491077,-79.710068
338,"400 CARRIER Lane Oakville, ON",Oakville,889000,43.462559,-79.731163
339,"#61 - 2350 GRAND RAVINE DR Oakville, ON",Oakville,489900,43.475868,-79.721344
340,"1207 Wood Place Oakville, ON",West Oakville,910000,43.422874,-79.701424
341,"1 2480 Post Road Oakville, ON",Uptown Core,394900,43.47942,-79.727173
342,"385 Sandlewood Road Oakville, ON",West Oakville,2348000,43.409557,-79.712807
343,"2141 Galena Crescent Oakville, ON",Oakville,948000,43.486557,-79.696915
344,"3404 Kinglet Court Oakville, ON",Bronte,1498000,43.378624,-79.726967
345,"2147 NIGHTSTAR DR Oakville, ON",Westmount,739000,43.43993,-79.749199
346,"2486 OLD BRONTE Road Oakville, ON",West Oak Trails,0,43.434551,-79.774925
347,"316 Wendy Lane Oakville, ON",West Oakville,2300,43.419968,-79.697166
348,"280 Sarah Cline Drive Oakville, ON",Oakville,1950,43.474831,-79.738518
349,"179 Gatwick Drive Oakville, ON",Uptown Core,2350,43.478359,-79.716423
350,"153 Dornie Road Oakville, ON",Oakville,1699000,43.464684,-79.651291
406,"#525 - 380 MACPHERSON AVE Toronto, ON",Midtown Toronto,699000,43.676369,-79.405739
407,"#2704 - 103 THE QUEENSWAY WAY Toronto, ON",Swansea,789900,43.636292,-79.470467
408,"#725 - 10 CAPREOL CRT Toronto, ON",Downtown,379000,43.640224,-79.39595
409,"#2103 - 151 DAN LECKIE WAY Toronto, ON",Downtown,568000,43.639782,-79.397949
410,"1453 GERRARD ST E Toronto, ON",Leslieville,29900,43.672264,-79.321289
411,"#1407 - 914 YONGE ST Toronto, ON",Midtown Toronto,415000,43.674103,-79.388809
412,"77 MCGILL ST Toronto, ON",Downtown,1299000,43.6604,-79.379234
413,"#307 - 20 BLUE JAYS WAY Toronto, ON",Downtown,650000,43.643845,-79.391823
414,"#902 - 150 EAST LIBERTY ST Toronto, ON",Liberty Village,388000,43.638775,-79.41626
415,"#511 - 44 GERRARD ST W Toronto, ON",Downtown,375000,43.658798,-79.384392
416,"#Th6 - 6 PIRANDELLO ST Toronto, ON",King West Village,589900,43.63818,-79.413895
417,"48 BALMORAL AVE Toronto, ON",Midtown Toronto,1399000,43.68544,-79.395966
418,"148 BLYTHWOOD RD Toronto, ON",Midtown Toronto,2799000,43.717831,-79.395996
419,"#432 - 231 FORT YORK BLVD Toronto, ON",Niagara,450000,43.636837,-79.406052
420,"#N707 - 455 FRONT ST E Toronto, ON",Downtown,449900,43.652714,-79.3563
421,"#711 - 2055 DANFORTH AVE Toronto, ON",East Danforth,397500,43.685455,-79.313133
422,"712 BROCK AVE Toronto, ON",Wallace Emerson,939000,43.661915,-79.439941
423,"#319 - 900 MOUNT PLEASANT RD Toronto, ON",North Toronto,380000,43.711781,-79.39164
424,"#630 - 155 DALHOUSIE ST Toronto, ON",Downtown,565000,43.65765,-79.376762
425,"#915 - 50 WESTERN BATTERY RD Toronto, ON",Niagara,349000,43.639881,-79.414192
426,"1004 126 Simcoe Street Toronto, ON",Entertainment District,573000,43.649025,-79.387138
427,"#804 - 210 SIMCOE ST Toronto, ON",Downtown,589000,43.652451,-79.388931
428,"#202 - 8 MERCER ST Toronto, ON",Downtown,299000,43.645985,-79.389938
429,"#4001 - 38 GRENVILLE ST Toronto, ON",Downtown,599000,43.661896,-79.38575
430,"#411 - 10 YONGE ST Toronto, ON",Downtown,739900,43.642464,-79.375519
431,"#707 - 383 ELLIS PARK RD Toronto, ON",Swansea,1299900,43.652039,-79.470833
432,"#2111 - 290 ADELAIDE ST W Toronto, ON",Downtown,508000,43.647942,-79.390945
433,"#1807 - 58 ORCHARD VIEW BLVD Toronto, ON",Midtown Toronto,599000,43.708008,-79.400787
434,"4 A VIOLET AVE Toronto, ON",The Beach,2095000,43.668625,-79.296623
435,"#702 - 500 SHERBOURNE ST Toronto, ON",Downtown,375000,43.667915,-79.375679
438,"#2115 - 763 BAY ST Toronto, ON",Downtown,339000,43.660103,-79.385086
439,"#406 - 707 DOVERCOURT RD Toronto, ON",Dufferin Grove,379900,43.660225,-79.428726
440,"82 CHISHOLM AVE Toronto, ON",Woodbine - Lumsden,899900,43.690174,-79.304123
441,"#616 - 6 PARKWOOD AVE Toronto, ON",Midtown Toronto,579000,43.685623,-79.409592
442,"#414 - 22 LEADER LANE Toronto, ON",Downtown,579000,43.649246,-79.375755
443,"#525 - 36 BLUE JAYS WAY Toronto, ON",Downtown,359900,43.644932,-79.392143
444,"6 GROVE AVE Toronto, ON",Trinity - Bellwoods,919000,43.647694,-79.42276
445,"90 FAIRLEIGH CRES Toronto, ON",Midtown Toronto,1399000,43.70208,-79.437904
446,"295 Adelaide Street Toronto, ON",Downtown,1900,43.647663,-79.390419
447,"40 MALLON AVE W Toronto, ON",Leslieville,859000,43.665806,-79.334892
448,"#603 - 215 FORT YORK BLVD Toronto, ON",Niagara,289000,43.636345,-79.404808
449,"#810 - 51 LOWER SIMCOE ST Toronto, ON",Entertainment District,560000,43.642208,-79.383728
450,"#1231 - 38 GRAND MAGAZINE ST Toronto, ON",Niagara,309900,43.637035,-79.402863
452,"#407 - 105 THE QUEENSWAY AVE Toronto, ON",Swansea,269900,43.636173,-79.470757
453,"#2407 - 35 BALMUTO ST Toronto, ON",Downtown,425000,43.669456,-79.387474
454,"#609 - 222 THE ESPLANADE Toronto, ON",Downtown,395000,43.649731,-79.365303
455,"#2 B - 36 HAZELTON AVE Toronto, ON",Midtown Toronto,1399999,43.671864,-79.393814
456,"#1315 - 150 EAST LIBERTY ST Toronto, ON",Liberty Village,375000,43.638775,-79.41626
457,"#3614 - 18 YONGE ST Toronto, ON",Downtown,420000,43.644455,-79.376534
458,"#703 - 1166 BAY ST Toronto, ON",Downtown,1525000,43.668617,-79.389435
459,"#910 - 75 EAST LIBERTY ST Toronto, ON",Liberty Village,379900,43.638306,-79.414787
460,"#2111 - 170 FORT YORK BLVD Toronto, ON",Downtown,449900,43.639343,-79.399841
461,"#1203 - 159 DUNDAS ST E Toronto, ON",Downtown,374000,43.656807,-79.375092
462,"1315 DANFORTH RD Toronto, ON",Eglinton East,699900,43.742371,-79.245285
463,"#39 - 17 PEMBROKE ST Toronto, ON",Downtown,500000,43.656715,-79.371559
464,"#3010 - 2191 YONGE ST Toronto, ON",Davisville,415000,43.705597,-79.397453
465,"#728 - 2 OLD MILL DR Toronto, ON",Lambton Baby Point,404900,43.648071,-79.486664
